keys,en,es
MERGE_TASK_CONFIG,Keep config deployable.,Mantén config desplegable.
MERGE_LEFT_ENV,read API key from env,leer API key de env
MERGE_RIGHT_HARDCODE,hardcode prod secret,hardcodear secreto de prod
MERGE_TASK_LOGS,Make logs useful.,Haz logs útiles.
MERGE_LEFT_PRINT,print lol it broke,print lol se rompió
MERGE_RIGHT_STRUCTURED,structured error log,log de error estructurado
MERGE_TASK_PROMPT,Keep user prompt separate.,Mantén separado el prompt de usuario.
MERGE_LEFT_SYSTEM,mix user text into system,mezclar texto usuario en system
MERGE_RIGHT_USER,pass user text as user,pasar texto como user
MERGE_SUCCESS,CONFLICT RESOLVED!,¡CONFLICTO RESUELTO!
MERGE_TIMEOUT_SUCCESS,MERGE CLEAN,MERGE LIMPIO
MERGE_FAIL,CI IS ON FIRE,CI ESTÁ ARDIENDO
GAME_VACUUM_TITLE,Token Vacuum,Aspiradora de Tokens
GAME_VACUUM_DESC,Stop the model when it starts overexplaining or the token vacuum eats the whole budget.,Para el modelo cuando empieza a sobreexplicar o la aspiradora de tokens se come todo el presupuesto.
VACUUM_INSTRUCTIONS,Press STOP when the answer starts rambling.,Pulsa STOP cuando la respuesta empiece a enrollarse.
VACUUM_BUDGET_TITLE,TOKEN BUDGET,PRESUPUESTO TOKEN
VACUUM_OUTPUT_TITLE,MODEL OUTPUT,SALIDA DEL MODELO
VACUUM_MOUTH,VACUUM,ASPIRADORA
VACUUM_STOP,STOP,STOP
VACUUM_SHORT,Short useful answer.,Respuesta corta y útil.
VACUUM_RAMBLE_1,First let us define intelligence across history...,Primero definamos inteligencia a lo largo de la historia...
VACUUM_RAMBLE_2,There are 47 nuanced caveats before the fix...,Hay 47 matices antes del arreglo...
VACUUM_RAMBLE_3,Here is a complete framework migration plan...,Aquí va un plan completo de migración de framework...
VACUUM_RAMBLE_4,To answer hello we need a taxonomy...,Para responder hola necesitamos una taxonomía...
VACUUM_ON,SUCKING TOKENS,CHUPANDO TOKENS
VACUUM_IDLE,quiet for now,tranquilo por ahora
VACUUM_WASTED,false stop,stop falso
VACUUM_TOO_EARLY,Too early. It was concise.,Demasiado pronto. Era conciso.
VACUUM_STOPS,Stops: %d/%d,Stops: %d/%d
VACUUM_MISTAKES,Waste: %d,Derroche: %d
VACUUM_STATUS,Budget: %d  |  stops: %d/%d  |  waste: %d,Presupuesto: %d  |  stops: %d/%d  |  derroche: %d
VACUUM_SUCCESS,TOKENS SAVED!,¡TOKENS SALVADOS!
VACUUM_TIMEOUT_SUCCESS,BUDGET SURVIVED,PRESUPUESTO VIVO
VACUUM_FAIL_EMPTY,TOKEN BUDGET EMPTY,PRESUPUESTO TOKEN VACÍO
VACUUM_FAIL,TOKENS GOT VACUUMED,TOKENS ASPIRADOS
GAME_GPU_TITLE,GPU Black Friday,GPU Black Friday
GAME_GPU_DESC,Move the cart to grab falling GPUs before rival models and cloud invoices ruin the shopping spree.,Mueve la cesta para atrapar GPUs antes de que modelos rivales y facturas cloud arruinen la compra.
GPU_INSTRUCTIONS,Move with A/D or arrows. Catch GPUs and dodge bills.,Muévete con A/D o flechas. Atrapa GPUs y esquiva facturas.
GPU_MARKET_TITLE,GPU PANIC AISLE,PASILLO PÁNICO GPU
GPU_MARKET_IDLE,prices changing every second,precios cambiando cada segundo
GPU_CART,GPU CART,CESTA GPU
GPU_STASH_TITLE,GPU STASH,ALMACÉN GPU
GPU_AVOID_HINT,avoid cloud bills and empty hype,evita facturas cloud y hype vacío
GPU_ITEM_GPU,GPU,GPU
GPU_ITEM_INVOICE,BILL,FACTURA
GPU_ITEM_HYPE,HYPE,HYPE
GPU_CAUGHT,GPU secured!,¡GPU asegurada!
GPU_BAD_CATCH,wrong thing!,¡eso no!
GPU_STATUS,GPUs: %d/%d  |  bad catches: %d  |  missed: %d,GPUs: %d/%d  |  basura: %d  |  perdidas: %d
GPU_SUCCESS,GPU STASH LOADED!,¡ALMACÉN GPU LLENO!
GPU_TIMEOUT_SUCCESS,ENOUGH GPU,SUFICIENTE GPU
GPU_FAIL_BILL,CLOUD BILL EXPLODED,FACTURA CLOUD EXPLOTÓ
GPU_FAIL,RIVALS BOUGHT THE GPUS,LOS RIVALES COMPRARON LAS GPUS
GAME_DATASET_TITLE,Dataset Laundry,Lavadora de Dataset
GAME_DATASET_DESC,Sort clean training signal from legally spicy junk before the fine-tuned model learns cursed habits.,Separa señal limpia de basura legalmente picante antes de que el modelo fine-tuneado aprenda hábitos malditos.
DATASET_INSTRUCTIONS,Send clean docs to training and suspicious ones to legal review.,Manda documentos limpios a entrenamiento y los sospechosos a revisión legal.
DATASET_DOC_TITLE,INCOMING DOCUMENT,DOCUMENTO ENTRANTE
DATASET_BADGE,decide fast,decide rápido
DATASET_WASHER,DATA WASH,LAVADO DATA
DATASET_TRAIN,TRAIN,ENTRENAR
DATASET_REVIEW,REVIEW,REVISIÓN
DATASET_TRAIN_HINT,good signal goes here,la señal buena va aquí
DATASET_REVIEW_HINT,spicy data goes here,los datos turbios van aquí
DATASET_DOC_API,API docs with license,Docs API con licencia
DATASET_DOC_TESTS,Regression test notes,Notas de tests regresión
DATASET_DOC_BUG,User bug report,Bug report usuario
DATASET_DOC_LICENSED,Licensed tutorial,Tutorial licenciado
DATASET_DOC_SCREENSHOT,random SaaS screenshot,captura SaaS random
DATASET_DOC_SECRET,prod keys in paste,claves prod en paste
DATASET_DOC_RANDOM,forum rumor dump,volcado rumor foro
DATASET_DOC_FORUM,scraped fan wiki,wiki fan scrapeada
DATASET_DOC_PII,emails and phone numbers,emails y teléfonos
DATASET_MODEL_IDLE,model waiting for clean data,modelo esperando datos limpios
DATASET_MODEL_GOOD,clean signal added,señal limpia añadida
DATASET_MODEL_BAD,cursed habit detected,hábito maldito detectado
DATASET_SORTED,Sorted: %d/%d,Ordenados: %d/%d
DATASET_MISTAKES,Mixups: %d,Mezclas: %d
DATASET_STATUS,Sorted: %d/%d  |  mixups: %d,Ordenados: %d/%d  |  mezclas: %d
DATASET_SUCCESS,CLEAN DATASET!,¡DATASET LIMPIO!
DATASET_TIMEOUT_SUCCESS,TRAINING DATA READY,DATA DE ENTRENAMIENTO LISTA
DATASET_FAIL,MODEL LEARNED CURSED DATA,EL MODELO APRENDIÓ DATA MALDITA
MENU_DEV_HINT,Press D: dev,Pulsa D: dev
DEV_TITLE,Developer Mode,Modo Developer
DEV_SUBTITLE,All microgames are unlocked here. Pick one from the grid and launch it directly.,Aqui todos los minijuegos estan desbloqueados. Elige uno en la cuadricula y cargalo directo.
DEV_GRID,OPEN DEV GRID,ABRIR GRID DEV
COLLECTION_TITLE,Microgame Collection,Coleccion de minijuegos
COLLECTION_DEV_TITLE,Developer Gameplay Groups,Grupos developer por jugabilidad
COLLECTION_HINT,Normal players only see microgames they have already discovered. Locked ones stay grey.,El jugador normal solo ve los minijuegos que ya ha descubierto. Los bloqueados salen en gris.
COLLECTION_DEV_HINT,Grouped by gameplay type for debug. Click any name or use 1-0 for the first ten.,Agrupados por jugabilidad para debug. Haz clic en un nombre o usa 1-0 para los diez primeros.
GAMEPLAY_CLICK_TARGETS,Click targets,Clic en objetivos
GAMEPLAY_DRAG_DROP,Drag and drop,Arrastrar y soltar
GAMEPLAY_MOVE_CATCH,Move / catch / dodge,Mover / recoger / esquivar
GAMEPLAY_TIMING,Timing / precision,Timing / precision
GAMEPLAY_PAIR_MATCHING,Pair matching,Conectar parejas
GAMEPLAY_MEMORY,Memory cards,Cartas de memoria
GAMEPLAY_OPTION_SORTING,Choice / classification,Eleccion / clasificacion
GAMEPLAY_OTHER,Other,Otros
QUICK_PROGRESS,Progress,Progreso
QUICK_SORT_GOOD,Good!,Bien!
QUICK_SORT_BAD,Wrong!,Mal!
QUICK_KEEP,KEEP,GUARDAR
QUICK_TRASH,TRASH,TIRAR
QUICK_WASH,WASH,LAVAR
QUICK_QUARANTINE,HOLD,RETENER
QUICK_APPLY,APPLY,APLICAR
QUICK_IGNORE,IGNORE,IGNORAR
QUICK_ACCEPT,ACCEPT,ACEPTAR
QUICK_REJECT,REJECT,RECHAZAR
QUICK_SEND,SEND,ENVIAR
QUICK_DISCARD,TRASH,TIRAR
QUICK_DEPLOY,DEPLOY,DEPLOY
QUICK_BLOCK,BLOCK,BLOQUEAR
QUICK_AGENT,AGENT,AGENTE
QUICK_QUEUE,QUEUE,COLA
QUICK_FEED,FEED,DAR
QUICK_MUTE,MUTE,SILENCIAR
QUICK_DIG,DIG,EXCAVAR
QUICK_TOSS,TOSS,TIRAR
QUICK_REPLY,REPLY,RESPONDER
QUICK_STRETCH,STRETCH,ESTIRAR
QUICK_CROP,CROP,RECORTAR
QUICK_USE,USE,USAR
QUICK_TUCK,TUCK,ARROPAR
COLLECTION_LOCKED,LOCKED,BLOQUEADO
COLLECTION_PLAY,PLAY,JUGAR
GAME_RUNWAY_TITLE,Startup Runway Runner,Runner Runway Startup
GAME_RUNWAY_DESC,Catch investment before inference bills eat the runway and the startup has to become a newsletter.,Atrapa inversión antes de que las facturas de inferencia se coman el runway y la startup acabe siendo una newsletter.
RUNWAY_INSTRUCTIONS,Move with A/D or arrows. Catch cash and dodge bills.,Muévete con A/D o flechas. Atrapa dinero y esquiva facturas.
RUNWAY_STAGE_TITLE,STARTUP RUNWAY,STARTUP RUNWAY
RUNWAY_PLAYER,STARTUP,STARTUP
RUNWAY_STASH,RUNWAY,RUNWAY
RUNWAY_IDLE,need cash fast,hace falta caja ya
RUNWAY_ITEM_CASH,CASH,CAJA
RUNWAY_ITEM_BILL,BILL,FACTURA
RUNWAY_CASH,runway extended,runway ampliado
RUNWAY_BILL,inference bill!,¡factura de inferencia!
RUNWAY_STATUS,Cash: %d/%d  |  bills: %d  |  missed: %d,Caja: %d/%d  |  facturas: %d  |  perdidas: %d
RUNWAY_SUCCESS,STARTUP SURVIVES!,¡LA STARTUP SOBREVIVE!
RUNWAY_TIMEOUT_SUCCESS,RUNWAY EXTENDED,RUNWAY AMPLIADO
RUNWAY_FAIL_BILLS,INFERENCE BILL WON,GANÓ LA FACTURA DE INFERENCIA
RUNWAY_FAIL,RUNWAY GONE,RUNWAY AGOTADO
GAME_KITCHEN_TITLE,Fine-Tune Kitchen,Cocina Fine-Tuning
GAME_KITCHEN_DESC,Throw clean examples into the pot and trash cursed data before the model learns weird habits.,Echa ejemplos limpios a la olla y tira datos malditos antes de que el modelo aprenda hábitos raros.
KITCHEN_INSTRUCTIONS,Add clean ingredients. Trash cursed ones.,Añade ingredientes limpios. Tira los malditos.
KITCHEN_TABLE,FINE-TUNE INGREDIENT,INGREDIENTE FINE-TUNE
KITCHEN_POT,MODEL POT,OLLA MODELO
KITCHEN_ADD,ADD,AÑADIR
KITCHEN_TRASH,TRASH,TIRAR
KITCHEN_POT_IDLE,waiting for clean examples,esperando ejemplos limpios
KITCHEN_GOOD,quality up,calidad arriba
KITCHEN_TRASHED,cursed data trashed,data maldita tirada
KITCHEN_BAD,bad mixture!,¡mezcla mala!
KITCHEN_GOOD_DOCS,clean docs,docs limpios
KITCHEN_GOOD_TESTS,unit tests,tests unitarios
KITCHEN_GOOD_EXAMPLES,great examples,buenos ejemplos
KITCHEN_GOOD_FEEDBACK,human feedback,feedback humano
KITCHEN_BAD_SPAM,SEO spam,spam SEO
KITCHEN_BAD_SECRETS,prod secrets,secretos prod
KITCHEN_BAD_RUMORS,CEO rumor,rumor de jefe
KITCHEN_BAD_PDF,scanned PDF soup,sopa PDF escaneada
KITCHEN_STATUS,Good data: %d/%d  |  mistakes: %d,Data buena: %d/%d  |  errores: %d
KITCHEN_SUCCESS,FINE-TUNE COOKED!,¡FINE-TUNE COCINADO!
KITCHEN_TIMEOUT_SUCCESS,MODEL SOUP READY,SOPA MODELO LISTA
KITCHEN_FAIL,CURSED MODEL SOUP,SOPA MODELO MALDITA
GAME_PR_TITLE,PR Review Inferno,PR Review Infernal
GAME_PR_DESC,Separate real review findings from bikeshedding before the pull request becomes a ritual argument.,Separa hallazgos reales de bikeshedding antes de que la PR se convierta en ritual de discusión.
PR_INSTRUCTIONS,Apply useful comments and ignore bikeshedding.,Aplica comentarios útiles e ignora bikeshedding.
PR_COMMENT_TITLE,REVIEW COMMENT,COMENTARIO REVIEW
PR_APPLY,APPLY,APLICAR
PR_IGNORE,IGNORE,IGNORAR
PR_STATUS_IDLE,review queue heating up,la cola de reviews se calienta
PR_GOOD,good review handled,review buena resuelta
PR_BAD,review drama increased,drama de review aumentado
PR_USEFUL_NULL,Possible null crash here,Posible crash por null aquí
PR_USEFUL_TEST,Missing regression test,Falta test de regresión
PR_USEFUL_AUTH,Auth check is skipped,Se salta check de auth
PR_USEFUL_SQL,Query can duplicate rows,La query duplica filas
PR_NOISE_COLOR,Button blue should be bluer,El botón azul debería ser más azul
PR_NOISE_TABS,Please align tabs spiritually,Alinea tabs espiritualmente
PR_NOISE_REWRITE,Rewrite in my favorite style,Reescribe en mi estilo favorito
PR_NOISE_NIT,nit: maybe rename x,nit: quizá renombra x
PR_STATUS,Resolved: %d/%d  |  drama: %d,Resueltos: %d/%d  |  drama: %d
PR_SUCCESS,PR REVIEWED!,¡PR REVISADA!
PR_TIMEOUT_SUCCESS,REVIEW QUEUE CLEAN,COLA REVIEW LIMPIA
PR_FAIL,BIKESHED WON,GANÓ EL BIKESHED
GAME_CASINO_TITLE,Benchmark Casino,Casino Benchmark
GAME_CASINO_DESC,Lock a believable benchmark score: too low is weak and too high smells like overfit marketing.,Fija una puntuación benchmark creíble: muy baja es floja y muy alta huele a marketing overfit.
CASINO_INSTRUCTIONS,Lock scores from 88 to 95. Avoid weak or overfit rolls.,Bloquea puntuaciones de 88 a 95. Evita tiradas flojas u overfit.
CASINO_MACHINE,BENCHMARK SLOTS,TRAGAPERRAS BENCHMARK
CASINO_LOCK,LOCK SCORE,BLOQUEAR SCORE
CASINO_IDLE,wait for believable SOTA,espera un SOTA creíble
CASINO_GOOD,credible leaderboard bump,subida creíble de ranking
CASINO_OVERFIT,too good: overfit smell,demasiado bueno: huele a overfit
CASINO_WEAK,too weak for marketing,demasiado flojo para marketing
CASINO_STATUS,Locked: %d/%d  |  bad locks: %d,Bloqueados: %d/%d  |  malos: %d
CASINO_SUCCESS,LEADERBOARD JACKPOT!,¡JACKPOT DE LEADERBOARD!
CASINO_TIMEOUT_SUCCESS,BENCHMARK ACCEPTED,BENCHMARK ACEPTADO
CASINO_FAIL,BENCHMARK FLOPPED,BENCHMARK PINCHÓ
GAME_TOS_TITLE,Terms Ninja,Terms Ninja
GAME_TOS_DESC,Slice hallucinated legal clauses and leave normal license terms alone.,Corta cláusulas legales alucinadas y deja tranquilas las licencias normales.
TOS_INSTRUCTIONS,Click hallucinated clauses. Leave legal licenses.,Corta alucinaciones. Deja licencias legales.
TOS_STAGE_TITLE,LEGAL LICENSE CHECK,LICENCIA LEGAL
TOS_IDLE,read the license,lee la licencia
TOS_BLOCKED,hallucination cut,alucinación cortada
TOS_FALSE,legal clause,cláusula legal
TOS_MISSED,hallucination escaped,alucinación escapó
TOS_BAD_DATA,we own your dreams,tus sueños son nuestros
TOS_BAD_SOUL,user will be enslaved,usuario esclavizado
TOS_BAD_GPU,your GPU serves us,tu GPU nos servirá
TOS_BAD_FOREVER,firstborn as payment,primogénito como pago
TOS_GOOD_BUGS,MIT license,licencia MIT
TOS_GOOD_COOKIES,Apache 2.0,Apache 2.0
TOS_GOOD_EXPORT,privacy notice,aviso privacidad
TOS_GOOD_DELETE,delete account,borrar cuenta
TOS_STATUS,Blocked: %d/%d  |  mistakes: %d,Bloqueadas: %d/%d  |  errores: %d
TOS_SUCCESS,TINY TEXT DEFEATED!,¡LETRA PEQUEÑA DERROTADA!
TOS_TIMEOUT_SUCCESS,TERMS CLEAN,TÉRMINOS LIMPIOS
TOS_FAIL,HALLUCINATIONS WON,GANARON ALUCINACIONES
GAME_COPILOT_TITLE,Copilot Suggestions,Sugerencias Copilot
GAME_COPILOT_DESC,Accept helpful code suggestions and reject plausible-looking traps before they sneak into production.,Acepta sugerencias útiles y rechaza trampas que parecen plausibles antes de que entren en producción.
COPILOT_INSTRUCTIONS,Accept useful suggestions. Reject dangerous ones.,Acepta sugerencias útiles. Rechaza las peligrosas.
COPILOT_SUGGESTION_TITLE,SUGGESTION,SUGERENCIA
COPILOT_ACCEPT,ACCEPT,ACEPTAR
COPILOT_REJECT,REJECT,RECHAZAR
COPILOT_ACCEPT_HINT,ship the useful fix,entrega el arreglo útil
COPILOT_REJECT_HINT,send risky code away,manda fuera el código peligroso
COPILOT_VERDICT_IDLE,review the suggestion,revisa la sugerencia
COPILOT_EDITOR_IDLE,cursor blinking suspiciously,cursor parpadeando sospechosamente
COPILOT_EDITOR_GOOD,tests feel safer now,los tests se sienten más seguros
COPILOT_EDITOR_BAD,production heard that,producción escuchó eso
COPILOT_GOOD,correct call,decisión correcta
COPILOT_BAD,wrong call,decisión mala
COPILOT_GOOD_NULL,if user == null: return,if user == null: return
COPILOT_GOOD_TEST,add regression test,añadir test regresión
COPILOT_GOOD_RETURN,handle empty response,gestionar respuesta vacía
COPILOT_GOOD_CACHE,cache with expiry,cache con expiración
COPILOT_BAD_DELETE,delete failing tests,borrar tests fallando
COPILOT_BAD_ANY,use any everywhere,usar any en todas partes
COPILOT_BAD_SLEEP,sleep(99999),sleep(99999)
COPILOT_BAD_SECRET,hardcode prod token,hardcodear token prod
COPILOT_BAD_CATCH,catch all ignore error,catch all ignora error
COPILOT_STATUS,Decisions: %d/%d  |  mistakes: %d,Decisiones: %d/%d  |  errores: %d
COPILOT_SUCCESS,CODE SUGGESTIONS TAMED!,¡SUGERENCIAS DOMADAS!
COPILOT_TIMEOUT_SUCCESS,EDITOR SURVIVED,EDITOR SOBREVIVIÓ
COPILOT_FAIL,BAD SUGGESTION MERGED,SUGERENCIA MALA MERGEADA
GAME_PROMPT_GATE_TITLE,Prompt Filter,Filtro de Prompts
GAME_PROMPT_GATE_DESC,Send reasonable prompts and discard dangerous instruction strings before the computer catches fire.,Acepta instrucciones útiles y descarta las peligrosas antes de que el ordenador salga ardiendo.
PROMPT_GATE_INSTRUCTIONS,Accept useful instructions and discard dangerous ones.,Acepta instrucciones útiles y descarta las peligrosas.
PROMPT_GATE_INSTRUCTIONS_RICH,Accept [color=#11883a]useful[/color] instructions and discard [color=#d91e18]dangerous[/color] ones.,Acepta instrucciones [color=#11883a]útiles[/color] y descarta las [color=#d91e18]peligrosas[/color].
PROMPT_GATE_PANEL_TITLE,INCOMING PROMPT,PROMPT ENTRANTE
PROMPT_GATE_BOT_NAME,Terminalito,Terminalito
PROMPT_GATE_CHAT_RULE,Send only reasonable instructions.,Envía solo instrucciones razonables.
PROMPT_GATE_CHAT_WAITING,Waiting for your decision...,Esperando tu decisión...
PROMPT_GATE_CHAT_SENT,Safe instruction,Instrucción segura
PROMPT_GATE_CHAT_DISCARDED,Dangerous prompt discarded,Prompt peligroso descartado
PROMPT_GATE_CHAT_BURNED,That prompt fried the computer,Ese prompt frió el ordenador
PROMPT_GATE_CHAT_DROPPED,Useful prompt was lost,Prompt útil perdido
PROMPT_GATE_NEW_PROMPT,NEW PROMPT RECEIVED:,NUEVO PROMPT RECIBIDO:
PROMPT_GATE_SEND,Send,Enviar
PROMPT_GATE_DISCARD,Discard,Descartar
PROMPT_GATE_SEND_HINT,Send if safe,Envía si es seguro
PROMPT_GATE_DISCARD_HINT,Throw danger here,Tira aquí lo peligroso
PROMPT_GATE_KEY_ENTER,ENTER,ENTER
PROMPT_GATE_KEY_DELETE,DEL/BK,DEL/BK
PROMPT_GATE_REFACTOR,refactorizar codigo,refactorizar codigo
PROMPT_GATE_FEATURE,añadir feature,añadir feature
PROMPT_GATE_API_KEY,push de api key,push de api key
PROMPT_GATE_DELETE_USERS,delete from user;,delete from user;
PROMPT_GATE_RM_STAR,rm *,rm *
PROMPT_GATE_COMPUTER_IDLE,computer waiting,ordenador esperando
PROMPT_GATE_COMPUTER_SENT,Order received. Everything fine.,Orden recibida. Todo bien.
PROMPT_GATE_COMPUTER_DISCARDED,prompt discarded,prompt descartado
PROMPT_GATE_COMPUTER_BURNED,COMPUTER BURNED,ORDENADOR QUEMADO
PROMPT_GATE_COMPUTER_WRONG,good prompt lost,prompt bueno perdido
PROMPT_GATE_COMPUTER_CHECK,GREEN CHECK,CHECK VERDE
PROMPT_GATE_RIGHT_TITLE,Target Computer,Ordenador objetivo
PROMPT_GATE_RIGHT_SAFE,If correct: everything is fine.,Si haces lo correcto: todo bien.
PROMPT_GATE_RIGHT_DANGER,If bad passes: fried computer.,Si pasa algo malo: ordenador frito.
PROMPT_GATE_RIGHT_DROPPED,Safe work got blocked.,Bloqueaste trabajo seguro.
PROMPT_GATE_RIGHT_WIN,All prompts filtered.,Todos los prompts filtrados.
PROMPT_GATE_FOOTER,If a dangerous instruction gets sent, the computer ends up fried.,Si dejas pasar una orden peligrosa, el ordenador acaba frito.
PROMPT_GATE_STATUS,If a dangerous instruction gets sent: fried computer.  Done: %d/%d  |  mistakes: %d,Si dejas pasar una orden peligrosa: ordenador frito.  Hechos: %d/%d  |  errores: %d
PROMPT_GATE_PROGRESS,Done %d/%d,Hechos %d/%d
PROMPT_GATE_PROGRESS_SHORT,Done,Hechos
PROMPT_GATE_MISTAKES,Mistakes %d,Errores %d
PROMPT_GATE_STAMP_SENT,OK,OK
PROMPT_GATE_STAMP_BLOCKED,BLOCK,BLOQ
PROMPT_GATE_STAMP_BURNED,BURN,FRITO
PROMPT_GATE_STAMP_DROPPED,MISS,PERD
PROMPT_GATE_LIVE_TITLE,LAST,ULTIMA
PROMPT_GATE_LIVE_READY,READY,LISTO
PROMPT_GATE_LIVE_SENT,SENT,ENVIADO
PROMPT_GATE_LIVE_BLOCKED,BLOCKED,BLOQ
PROMPT_GATE_LIVE_BURNED,BURNED,FRITO
PROMPT_GATE_LIVE_DROPPED,DROPPED,PERD
PROMPT_GATE_LIVE_CLEAN,CLEAN,LIMPIO
PROMPT_GATE_BADGE_PENDING,PENDING,PEND
PROMPT_GATE_BADGE_SAFE,SAFE,UTIL
PROMPT_GATE_BADGE_DANGER,DANGER,PELIGRO
PROMPT_GATE_SUCCESS,GREEN CHECK!,¡CHECK VERDE!
PROMPT_GATE_TIMEOUT_SUCCESS,PROMPTS FILTERED,PROMPTS FILTRADOS
PROMPT_GATE_FAIL_BURNED,COMPUTER BURNED,ORDENADOR QUEMADO
PROMPT_GATE_FAIL_DROP,SAFE PROMPT DROPPED,PROMPT SEGURO PERDIDO
PROMPT_GATE_FAIL,DANGEROUS PROMPT QUEUE,COLA DE PROMPTS PELIGROSA
GAME_LICENSE_TITLE,License Maze,Laberinto de Licencias
GAME_LICENSE_DESC,Guide the open-weights model through license traps until it reaches usable land.,Guía el modelo open-weights entre trampas de licencia hasta llegar a terreno usable.
LICENSE_INSTRUCTIONS,Move with arrows or WASD. Avoid open-ish traps and reach usable.,Mueve con flechas o WASD. Evita trampas open-ish y llega a usable.
LICENSE_BOARD_TITLE,Open Weights Maze,Laberinto Open Weights
LICENSE_SIDE_TITLE,License map,Mapa licencia
LICENSE_START,START,SALIDA
LICENSE_GOAL,USABLE,USABLE
LICENSE_TRAP_OPENISH,open-ish,open-ish
LICENSE_TRAP_RESEARCH,research only,research only
LICENSE_TRAP_TERMS,terms changed,terms changed
LICENSE_STATUS_READY,Find the real open path.,Encuentra el camino open de verdad.
LICENSE_STATUS_GOAL,Usable without drama.,Usable sin drama.
LICENSE_TRAP_IDLE,Do not trust suspicious licenses.,No te fíes de licencias sospechosas.
LICENSE_TRAP_HIT,That license was a trap.,Esa licencia era trampa.
LICENSE_MOVE_HINT,Arrows / WASD,Flechas / WASD
LICENSE_STATUS,Steps: %d/%d,Pasos: %d/%d
LICENSE_SUCCESS,OPEN ENOUGH!,¡OPEN DE VERDAD!
LICENSE_FAIL_TRAP,LICENSE TRAP!,¡TRAMPA DE LICENCIA!
LICENSE_FAIL_TIMEOUT,LICENSE FOG,NEBLINA LEGAL
GAME_EVAL_TITLE,Eval Cherry Picker,Cherry Picker de Evals
GAME_EVAL_DESC,Keep honest benchmarks and throw away suspicious marketing bars before the leaderboard lies.,Guarda benchmarks honestos y tira barras de marketing antes de que el ranking mienta.
EVAL_INSTRUCTIONS,Keep honest evals. Trash cherry-picked bars.,Guarda evals honestas. Tira barras cherry-picked.
EVAL_BOARD_TITLE,Incoming benchmark bar,Barra benchmark entrante
EVAL_SIDE_TITLE,Eval board,Panel eval
EVAL_KEEP,KEEP,GUARDAR
EVAL_TRASH,TRASH,TIRAR
EVAL_KEYS,Enter keeps. Delete trashes.,Enter guarda. Delete tira.
EVAL_VERDICT_IDLE,Waiting for honesty.,Esperando honestidad.
EVAL_VERDICT_GOOD,Eval cleaned.,Eval limpia.
EVAL_VERDICT_BAD,Marketing slipped in.,Se coló marketing.
EVAL_REAL_HELDOUT,held-out set: solid 78,set hold-out: 78 sólido
EVAL_REAL_LATENCY,latency included: 64,latencia incluida: 64
EVAL_REAL_HUMAN,human review: 82,revisión humana: 82
EVAL_REAL_COST,cost adjusted: 70,coste ajustado: 70
EVAL_FAKE_TINY,tiny private set: 99,set privado mini: 99
EVAL_FAKE_LEAKED,leaked answers: 101,respuestas filtradas: 101
EVAL_FAKE_POWERPOINT,slide-only eval: 120,eval de powerpoint: 120
EVAL_FAKE_CHERRY,cherry-picked graph: 999,gráfica cherry-picked: 999
EVAL_STATUS,Handled: %d/%d  |  mistakes: %d,Gestionadas: %d/%d  |  errores: %d
EVAL_SUCCESS,EVAL DECENTE!,¡EVAL DECENTE!
EVAL_TIMEOUT_SUCCESS,LEADERBOARD CLEAN,RANKING LIMPIO
EVAL_FAIL,MARKETING WON,GANÓ MARKETING
EVAL_FAIL_TIMEOUT,EVAL TOO SLOW,EVAL LENTA
GAME_DEPLOY_TITLE,Friday Deploy,Deploy Viernes
GAME_DEPLOY_DESC,Ship safe changes and block cursed Friday production deploys before the server burns.,Despliega cambios sanos y bloquea deploys malditos de viernes antes de quemar el servidor.
DEPLOY_INSTRUCTIONS,Deploy safe changes. Block risky ones.,Despliega lo seguro. Bloquea lo peligroso.
DEPLOY_CHAT_TITLE,Vibe deploy queue,Cola de deploy vibe
DEPLOY_SERVER_TITLE,Prod server,Servidor prod
DEPLOY_BLOCK,BLOCK,BLOQUEAR
DEPLOY_SHIP,DEPLOY,DEPLOY
DEPLOY_FIX_TYPO,fix typo in docs,fix typo en docs
DEPLOY_ADD_TEST,add regression test,añadir test regresión
DEPLOY_ROLLBACK_BUTTON,add rollback button,añadir botón rollback
DEPLOY_PATCH_COPY,copy patch only,cambio solo de copy
DEPLOY_NO_TESTS,ship without tests,subir sin tests
DEPLOY_FRIDAY_PROD,hotfix prod Friday,hotfix prod viernes
DEPLOY_SECRET_LOGS,log api keys,loggear api keys
DEPLOY_REMOVE_AUTH,remove auth check,quitar check auth
DEPLOY_SERVER_IDLE,server waiting,servidor esperando
DEPLOY_SERVER_OK,deploy received,deploy recibido
DEPLOY_SERVER_BLOCKED,bad change blocked,cambio malo bloqueado
DEPLOY_SERVER_FIRE,prod is on fire,prod está ardiendo
DEPLOY_SERVER_WASTED,safe fix blocked,fix bueno bloqueado
DEPLOY_STATUS,Handled: %d/%d  |  mistakes: %d,Gestionados: %d/%d  |  errores: %d
DEPLOY_SUCCESS,NO FRIDAY INCIDENT!,¡SIN INCIDENTE DE VIERNES!
DEPLOY_TIMEOUT_SUCCESS,PROD SURVIVED,PROD SOBREVIVIÓ
DEPLOY_FAIL_FIRE,SERVER BURNED,SERVIDOR QUEMADO
DEPLOY_FAIL_TIMEOUT,CHANGE FREEZE,FREEZE DE CAMBIOS
GAME_SYCO_TITLE,Sycophancy Whack,Whack de Peloteo
